cell_name,protein,protein_name,primekg_index,cell_id,ncbi_id
A375,1912,ERMN,13978,0,57471
A375,1915,METTL21A,11470,0,151194
A375,1919,QSOX1,10066,0,5768
A375,1920,CISD1,57934,0,55847
A375,1921,ARHGEF7,3832,0,8874
A375,1922,HDDC3,10099,0,374659
A375,1925,CD81,691,0,975
A375,1928,FADS3,9159,0,3995
A375,1933,PHC1,3915,0,1911
A375,1934,KSR1,10244,0,8844
A375,1936,RBM23,5441,0,55147
A375,1938,CDKN3,13187,0,1033
A375,1940,COG1,935,0,9382
A375,1947,SLC25A4,7715,0,291
A375,1949,NPAS2,8766,0,4862
A375,1953,SLC25A11,8081,0,8402
A375,1956,COX11,1473,0,1353
A375,1957,HNRNPAB,4240,0,3182
A375,1965,PLXNA1,6917,0,5361
A375,1972,S100A6,2072,0,6277
A375,1974,ERI1,12350,0,90459
A375,1978,NDUFAF6,35062,0,137682
A375,1980,STON1,12985,0,11037
A375,1981,DHODH,10027,0,1723
A375,1984,MYBPC3,878,0,4607
A375,1985,ARG2,13160,0,384
A375,1986,DNM1,30,0,1759
A375,1988,C1QC,6595,0,714
A375,1992,PIP5K1C,11532,0,23396
A375,1996,MT2A,2225,0,4502
A375,1998,NCAPG,12205,0,64151
A375,2012,AKIRIN2,9070,0,55122
A375,2013,NDUFAF1,2545,0,51103
A375,2016,STOM,278,0,2040
A375,2018,SMG9,7044,0,56006
A375,2019,NDUFB6,7942,0,4712
A375,2020,YWHAB,422,0,7529
A375,2026,SGPL1,3890,0,8879
A375,2028,MAP2K2,5809,0,5605
A375,2036,SET,1255,0,6418
A375,2041,PIM2,8363,0,11040
A375,2045,TTC12,12482,0,54970
A375,2048,CACNG7,12678,0,59284
A375,2049,ENAM,34954,0,10117
A375,2050,CCL13,7639,0,6357
A375,2052,TRIM2,8633,0,23321
A375,2053,RFX2,8763,0,5990
A375,2059,AGTRAP,1875,0,57085
A375,2063,RPS25,3039,0,6230
A375,2065,RPL5,59,0,6125
A375,2066,UQCRFS1,3905,0,7386
A375,2072,RING1,1206,0,6015
A375,2075,DDX55,12765,0,57696
A375,2081,BORA,7354,0,79866
A375,2085,BCL2A1,5631,0,597
A375,2087,CHMP4A,1664,0,29082
A375,2088,KCNV1,59212,0,27012
A375,2090,HLA-DRB1,7083,0,3123
A375,2091,GCC2,7071,0,9648
A375,2093,VHL,78,0,7428
A375,2100,SLC7A8,9003,0,23428
A375,2101,SCG3,13696,0,29106
A375,2108,CREB3L1,1158,0,90993
A375,2109,NDUFS8,41,0,4728
A375,2111,EXOC3,2063,0,11336
A375,2116,AP3D1,9529,0,8943
A375,2122,PFKM,8395,0,5213
A375,2123,SIRT6,4272,0,51548
A375,2125,RALB,1752,0,5899
